Sentence,Sentiment,Score
"crown victoryhand crown
",POSITIVE,0.9997822642326355
"noted inch another tha
",POSITIVE,0.948491096496582
"foolin streaming grinningfacewithsweat
",NEGATIVE,0.9921676516532898
"thumbsup
",POSITIVE,0.9957951307296753
"first beamingfacewithsmilingeyes
",POSITIVE,0.9914445281028748
"bought month everything
",POSITIVE,0.9973703622817993
"sound
",POSITIVE,0.9995505213737488
"hey seriouslyhow costly warranty
",NEGATIVE,0.9993964433670044
"cryingface
",NEGATIVE,0.9907960891723633
"flagship influencers money
",POSITIVE,0.979072630405426
"75inch 65inch phoneslightlysmilingface
",NEGATIVE,0.9850667715072632
"please
",POSITIVE,0.9995015859603882
"thank upsidedownface
",POSITIVE,0.9995410442352295
"heartexclamation
",POSITIVE,0.9989963173866272
"information inches inches stretched causing inch clarity sharpness inches
",NEGATIVE,0.952103853225708
"options
",POSITIVE,0.996459424495697
"phone death pleasefoldedhands
",NEGATIVE,0.9995107650756836
"please around inch
",POSITIVE,0.9983899593353271
"everything free
",POSITIVE,0.9992725253105164
"costly
",NEGATIVE,0.9997482895851135
"flagship
",POSITIVE,0.9983338713645935
"flagship
",POSITIVE,0.9983338713645935
"grinningfacewithsweat
",POSITIVE,0.9940981864929199
"top
",POSITIVE,0.9997069239616394
"please
",POSITIVE,0.9995015859603882
"another thing city
",POSITIVE,0.5175787806510925
"grinningfacewithsweat
",POSITIVE,0.9940981864929199
"first bought something
",POSITIVE,0.9929929971694946
"topic frot haicryingface
",NEGATIVE,0.992142915725708
"first tcon white
",NEGATIVE,0.9697381258010864
"please
",POSITIVE,0.9995015859603882
"hour hour family
",POSITIVE,0.9979193806648254
"phone pathetic hour
",NEGATIVE,0.9996559619903564
"please phone please please wrote
",NEGATIVE,0.8479204773902893
"technical
",POSITIVE,0.9962310194969177
"really
",POSITIVE,0.9980352520942688
"security patch service phone month warranty
",NEGATIVE,0.9892155528068542
"kithe
",POSITIVE,0.9967748522758484
"please
",POSITIVE,0.9995015859603882
"ground
",POSITIVE,0.9981474876403809
"ground
",POSITIVE,0.9981474876403809
"grinningfacewithsweat
",POSITIVE,0.9940981864929199
"costly inch
",NEGATIVE,0.9996460676193237
"please
",POSITIVE,0.9995015859603882
"crown
",POSITIVE,0.9998059868812561
"thumbsup
",POSITIVE,0.9957951307296753
"redheartredheartredheartwow redheartawesome thumbsuplightskintone
",POSITIVE,0.7448396682739258
"personally
",POSITIVE,0.997478187084198
"plzzzzsmilingfacewithsmilingeyes
",NEGATIVE,0.9923239946365356
"please
",POSITIVE,0.9995015859603882
"top features hona think
",POSITIVE,0.9879097938537598
"grinningfacewithsweat
",POSITIVE,0.9940981864929199
"inches smilingfacewithhearteyes
",POSITIVE,0.9977962970733643
"geographic history
",POSITIVE,0.9979991316795349
"please
",POSITIVE,0.9995015859603882
"without roasted whole facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
",NEGATIVE,0.9914348721504211
"hardcore bought inch everything
",POSITIVE,0.9149869680404663
"fir phone family though hairedheart
",NEGATIVE,0.9294166564941406
"software sound
",POSITIVE,0.9955199956893921
"indirectly roasted facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
",NEGATIVE,0.9751812815666199
"wishfoldedhandsto allupsidedownfacechhattisgadhis andsmilingfacewithhaloothers
",NEGATIVE,0.9872976541519165
"chhattisgarh foundation dayheartexclamation
",POSITIVE,0.936039924621582
"facewithtearsofjoy least
",NEGATIVE,0.9914618730545044
"know iphone years backhandindexpointingleft mecryingface
",NEGATIVE,0.9852733016014099
"smilingfacewithsmilingeyes
",POSITIVE,0.9970294237136841
"familys
",POSITIVE,0.9942858815193176
"account lavefacewithheadbandage
",NEGATIVE,0.9936701059341431
"helpful
",POSITIVE,0.9997673630714417
"actually ofline sound
",POSITIVE,0.9984652996063232
