Sentence,Sentiment,Score
"phone whats s23
",NEGATIVE,0.9617770910263062
"sony really smartphone
",POSITIVE,0.996166467666626
"know exactly thats based sounding sound rather sound hear thick sound creation industry
",NEGATIVE,0.9725354909896851
"headphone overnow worth sound
",NEGATIVE,0.9900423288345337
"honestly around easily sound built sound thin sound characteristics
",NEGATIVE,0.9988928437232971
"first thank
",POSITIVE,0.9998251795768738
"rather youtubers completely
",NEGATIVE,0.9103549122810364
"playback knowledge nothing subjective feedback things agree
",NEGATIVE,0.9684807062149048
"technologically updated things smartphone playerhigh headphones phone
",POSITIVE,0.9323383569717407
"bluetooth boat bluntly pathetic expecting thing wireless
",NEGATIVE,0.9987851977348328
"think people wireless rather things
",NEGATIVE,0.9883042573928833
"charging hence rather
",POSITIVE,0.8980647325515747
"showed
",POSITIVE,0.9976149797439575
"infographics clarity highslows
",POSITIVE,0.9957931041717529
"4finally pleased interesting insightful technical summary topics
",POSITIVE,0.9998511075973511
"whole heard things learn
",POSITIVE,0.9984179735183716
"thanks
",POSITIVE,0.9998080134391785
"phonecall back facewithtearsofjoy
",NEGATIVE,0.9894124865531921
"high sound warmer sound harsher hights
",NEGATIVE,0.989364743232727
"hights
",POSITIVE,0.9990447163581848
"reference reviewbecause hights
",POSITIVE,0.911525547504425
"think features
",POSITIVE,0.9943426847457886
"thw headphone reason bought
",NEGATIVE,0.9761707186698914
"please cover thank
",POSITIVE,0.9997386336326599
"sound
",POSITIVE,0.9995505213737488
"sounds
",POSITIVE,0.9985325336456299
"already smartphone sony top top smartphones hires high smartphone would every sony
",NEGATIVE,0.9629790782928467
"options
",POSITIVE,0.996459424495697
"thin phone basically thats users charger
",NEGATIVE,0.9986405968666077
"everything
",POSITIVE,0.998927891254425
"s21 things something everything headphone
",POSITIVE,0.9302762746810913
"front facing
",POSITIVE,0.9932732582092285
"literally thing phone s8 years horrible thought front facing
",NEGATIVE,0.9982750415802002
"flagship phone oneiphone
",NEGATIVE,0.5273541808128357
"facing front facing
",POSITIVE,0.9959709048271179
"ear headphones internal honestly year internal dedicated
",POSITIVE,0.7805414199829102
"really realy comeback smartphone
",POSITIVE,0.999745786190033
"reason choice phone found sony whatever
",NEGATIVE,0.9907065033912659
"really hear however sounds phone hires sound
",NEGATIVE,0.7676058411598206
"think heat sound amplification
",POSITIVE,0.7013594508171082
"high sound thing smartphone top
",POSITIVE,0.9894958138465881
"really smartphones choice weexpressionlessface
",NEGATIVE,0.9617322087287903
"wired wireless bluetooth found earphone hearing hearing age hearing sound highs
",NEGATIVE,0.5618914365768433
"recently purchased please performance thanks
",POSITIVE,0.9997029900550842
"enough money flagships
",POSITIVE,0.6592718362808228
"thats phone though would sound corporations
",NEGATIVE,0.9920661449432373
"sony smartphones editions focused iphone cheaper
",POSITIVE,0.6585534811019897
"players
",POSITIVE,0.997399091720581
"might really
",POSITIVE,0.9915288686752319
"thinking trying right whats reason switching
",NEGATIVE,0.9613471031188965
"without software switch
",NEGATIVE,0.5079860687255859
"earmen sound incredible played
",POSITIVE,0.9998458623886108
"sony earphones highend sound
",NEGATIVE,0.9608031511306763
"headphones thrown free
",NEGATIVE,0.9873428344726562
"chance
",POSITIVE,0.9993991851806641
"activation first
",POSITIVE,0.9963047504425049
"three years phone
",NEGATIVE,0.9574679136276245
"iphone smartphones sound
",POSITIVE,0.8515321016311646
"sound clarity
",POSITIVE,0.9998688697814941
"sound it´s
",POSITIVE,0.9986875653266907
"sony agree
",POSITIVE,0.9992324113845825
"please flagship smartphone eberything top recording headphone headphone ampplayer
",NEGATIVE,0.9608101844787598
"brother fact chipset worthy
",POSITIVE,0.9995878338813782
"worthwhile found years whilst
",POSITIVE,0.999841570854187
"input greatly though opinions
",POSITIVE,0.997687816619873
"really smartphone think bluetooth options really
",POSITIVE,0.9489755630493164
"thank please headphone
",POSITIVE,0.9993292093276978
"smartphones highest sound sound
",POSITIVE,0.986178994178772
"board wireless headphones serviceablei know softwarei know batteryof would least
",NEGATIVE,0.9919770359992981
"years phone people least security year years found would
",NEGATIVE,0.9934898614883423
"years years years enough
",POSITIVE,0.9559482336044312
"thanks honest
",POSITIVE,0.9998502731323242
"sounding thin sounds right using sound anything sony thats highs souned top bass right phone
",NEGATIVE,0.9979146122932434
"thank
",POSITIVE,0.9998283386230469
"thank
",POSITIVE,0.9998283386230469
"coupled expected would actually switch balanced sound would people phone actually headphones headphones perfectly input
",NEGATIVE,0.9890991449356079
"thank sound think offer sound eagerly bluetooth thank
",POSITIVE,0.9982321858406067
"thanks house think money thanks
",POSITIVE,0.9996753931045532
"high sound internal high instead
",POSITIVE,0.9744521975517273
"bought first headphones reveals using
",NEGATIVE,0.7265149354934692
"thanks know phone option would included phone honest sounds wired headphones otherwise bluetooth would ear
",NEGATIVE,0.9907119870185852
"finally using internal smartphone forces
",NEGATIVE,0.9151182174682617
"s22 sound
",POSITIVE,0.9911689758300781
"would phone phone everything things purchasing years sucks high years beat productswe products years currently usthe
",NEGATIVE,0.995993971824646
"sound would
",POSITIVE,0.9970645308494568
