Sentence,Sentiment,Score
"though realistically everyone something switch back back heat
",POSITIVE,0.8762520551681519
"people would people
",POSITIVE,0.9785836338996887
"functionality
",POSITIVE,0.9987916350364685
"really option might months software security increases
",NEGATIVE,0.9643369317054749
"backwards restricted software
",NEGATIVE,0.9985582232475281
"third functionality bonus operating
",POSITIVE,0.9818338751792908
"platform opinionated choices allowed strong weakness
",NEGATIVE,0.9924111366271973
"informative rewrite
",POSITIVE,0.9988173842430115
"know nothing things unpatched security
",NEGATIVE,0.9812326431274414
"know
",POSITIVE,0.9947928786277771
"flights think reasons iphone years
",NEGATIVE,0.8350843191146851
"everyone everyone hilarious anything thought screenshot text text offer year instructions security know really really thing really thing security officer reported know would
",NEGATIVE,0.9653130173683167
"theory anonymously crummy clear
",NEGATIVE,0.9988417029380798
"heard seriously everyone bothering everyone option things freely
",NEGATIVE,0.9972501397132874
"thank
",POSITIVE,0.9998283386230469
"aspen recorded snowboarding found
",POSITIVE,0.727792501449585
"think something least crowded
",NEGATIVE,0.9984160661697388
"headphone allowed products another overpriced thousand software users thing nothing force people products
",NEGATIVE,0.9987928867340088
"right wifi around user something wifi active nearly every user grandfathering causing wifi every seconds
",POSITIVE,0.5858814716339111
"hearing first thought wifi back
",NEGATIVE,0.9873819947242737
"another horrible iphone though
",NEGATIVE,0.9992677569389343
"thing honestly
",POSITIVE,0.997389018535614
"hear
",POSITIVE,0.9987009763717651
"theory related downvoted years everyone mother cool
",NEGATIVE,0.990308940410614
"heard gather without text
",NEGATIVE,0.6124379634857178
"people everyone location
",POSITIVE,0.9962963461875916
"hear functionally
",POSITIVE,0.9982092380523682
"everyone people everyone know
",POSITIVE,0.9990934133529663
"people trying people shitheads bother people
",NEGATIVE,0.999500036239624
"reference
",POSITIVE,0.9949818253517151
"thank
",POSITIVE,0.9998283386230469
"clearly chosen
",POSITIVE,0.9994663596153259
"front recorded enough interactions
",POSITIVE,0.9936854243278503
"approached thought caught
",POSITIVE,0.9579306244850159
"please chance everywhere furious
",NEGATIVE,0.8987260460853577
"four years everyone business
",POSITIVE,0.9965655207633972
"first specifically first football within
",POSITIVE,0.9911450743675232
"hope enough people people theyll something everyone choice choice turn completely
",POSITIVE,0.998399555683136
"realistically eventually back functionality might back
",NEGATIVE,0.9918878674507141
"cool government
",POSITIVE,0.999495267868042
"something
",POSITIVE,0.9990936517715454
"really highlights years years affecting unthinkable
",POSITIVE,0.999382495880127
"leash another thing
",NEGATIVE,0.9724090099334717
"originally censorshipmonitoring theyd normally firewall efficiently turning everyone
",NEGATIVE,0.9068328142166138
"security security
",POSITIVE,0.9954103827476501
"initially released theyve fact
",POSITIVE,0.8768584132194519
"learn reasons
",POSITIVE,0.9932307004928589
"security
",POSITIVE,0.9965949654579163
"people trying things
",POSITIVE,0.83553546667099
"teacher might think
",NEGATIVE,0.8712332248687744
"sorry… affected
",NEGATIVE,0.9996525049209595
"thats business
",POSITIVE,0.9977983832359314
"instead thats top really integrations everything together everything
",POSITIVE,0.9938192963600159
"products exclusively together bunch together match might
",NEGATIVE,0.9948666095733643
"please offer
",POSITIVE,0.999346911907196
"everything based features reason users literally phone integrated iphone users people right
",NEGATIVE,0.6609483361244202
"three everyone thing everyone contactsonly
",POSITIVE,0.958858072757721
"right literally topic anywhere
",POSITIVE,0.9950928688049316
"turned everyone
",POSITIVE,0.9988376498222351
"shows functional
",POSITIVE,0.9995162487030029
"everyone back top right switch everyone
",POSITIVE,0.9786948561668396
"people things heard really
",POSITIVE,0.9967845678329468
"phone others really
",NEGATIVE,0.9863429665565491
"instead wholesome
",POSITIVE,0.9991675615310669
"reason everyone
",POSITIVE,0.9927854537963867
"officially thats motive
",POSITIVE,0.9866666197776794
"really people money charger
",NEGATIVE,0.5400111079216003
"conspiracyish fact easy easily
",POSITIVE,0.6858827471733093
"manually back sharereceive everyone people easily around
",NEGATIVE,0.9306797981262207
"people cook claiming security cook
",NEGATIVE,0.8079125285148621
"initially government products
",NEGATIVE,0.9342333078384399
"think technically
",POSITIVE,0.9979903697967529
"thing immediately following around years tested think people
",NEGATIVE,0.9390652775764465
"interactions trivially impacted though might everyone three without right coordinating things
",NEGATIVE,0.989119291305542
"thank
",POSITIVE,0.9998283386230469
"credibility restricted therell plethora
",NEGATIVE,0.998426079750061
"heres becomes speculation really would rather following release
",NEGATIVE,0.9976906776428223
"surely turning protection
",POSITIVE,0.9950450658798218
"iphones theres interface light years
",NEGATIVE,0.7986860275268555
"literally every thing people headphone
",NEGATIVE,0.7990679144859314
