Sentence,Sentiment,Score
"years currently sound
",POSITIVE,0.9993378520011902
"boat top boat
",POSITIVE,0.9978266358375549
"please
",POSITIVE,0.9995015859603882
"please
",POSITIVE,0.9995015859603882
"boat cheap
",NEGATIVE,0.9997099041938782
"thankyou honest 171redheartredheartredheartredheartredheart
",POSITIVE,0.9991627931594849
"please confused months cryingfacefacewithopenmouth
",NEGATIVE,0.9915803074836731
"brother free four please partypopperpartypopperpartypopperpartypopperpartypopper
",NEGATIVE,0.9699194431304932
"inme
",POSITIVE,0.9930518865585327
"purchased boat official selecting offer smilingfacewithsmilingeyessmilingface thanks boat smilingfacewithopenhandsfoldedhands
",NEGATIVE,0.7543885111808777
"boat boat money showing within month
",NEGATIVE,0.8067003488540649
"ear
",POSITIVE,0.9974402189254761
"ear
",POSITIVE,0.9974402189254761
"top
",POSITIVE,0.9997069239616394
"please
",POSITIVE,0.9995015859603882
"top
",POSITIVE,0.9997069239616394
"please
",POSITIVE,0.9995015859603882
"boat please
",POSITIVE,0.9989874958992004
"please please
",POSITIVE,0.9992691874504089
"please please
",POSITIVE,0.9992691874504089
"bought
",POSITIVE,0.9988548755645752
"bass balanced
",POSITIVE,0.9986845850944519
"hearning choice
",POSITIVE,0.9962528944015503
"please
",POSITIVE,0.9995015859603882
"sathe please cryingfacecryingfacecryingface
",NEGATIVE,0.8502763509750366
"watched theyre reviewredheart boat grinningfacewithsweat confused thanks redheart
",POSITIVE,0.9581512212753296
"boat bass sound
",NEGATIVE,0.962384819984436
"beamingfacewithsmilingeyes
",POSITIVE,0.9947821497917175
"growingheart
",POSITIVE,0.9984139204025269
"boat playback heavy testing
",NEGATIVE,0.9921824336051941
"confused
",NEGATIVE,0.9994555115699768
"please choose please
",POSITIVE,0.9994115829467773
"currently nothing
",NEGATIVE,0.9991687536239624
"brough boat everything boat reach
",POSITIVE,0.534155547618866
"brother bought sound right think protects please helpredheart
",POSITIVE,0.9974620342254639
"heavy
",NEGATIVE,0.9997320771217346
"thank redheart
",POSITIVE,0.999832034111023
"boat sound grinningfacewithsweatgrinningfacewithsweat
",POSITIVE,0.9485111832618713
"brought month battery cryingface
",NEGATIVE,0.9962952733039856
"boat sound sound
",POSITIVE,0.9839410185813904
"boat please
",POSITIVE,0.9989874958992004
"perfectly fits ear
",POSITIVE,0.9998676776885986
"please please please
",POSITIVE,0.9988790154457092
"using products boat purchase boatexchanged products boatcryingface
",NEGATIVE,0.9927337169647217
"boat bass top
",POSITIVE,0.8224214315414429
"top boat boat boat
",POSITIVE,0.9976487755775452
"boat morning atleast boat month please
",POSITIVE,0.991675615310669
"boat please
",POSITIVE,0.9989874958992004
"sound charging another boat please smilingfacewithsmilingeyes
",POSITIVE,0.9961196184158325
"sound please soundcore
",POSITIVE,0.9995065927505493
"please
",POSITIVE,0.9995015859603882
"boat boat thor boat
",NEGATIVE,0.6204802989959717
"please
",POSITIVE,0.9995015859603882
"theek sound facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
",NEGATIVE,0.9572626948356628
"offerல boat shorts
",NEGATIVE,0.958774209022522
"sourounding sound
",NEGATIVE,0.9998083710670471
"boat wired headset
",NEGATIVE,0.9681678414344788
"boat anc boat anc
",NEGATIVE,0.917540431022644
"anc top products
",POSITIVE,0.9983164072036743
"right please
",POSITIVE,0.9998182654380798
"thank helpful
",POSITIVE,0.9998286962509155
"please anc hours hours
",POSITIVE,0.9235499501228333
"please
",POSITIVE,0.9995015859603882
"boat wireless heavy testing
",NEGATIVE,0.9697721004486084
"thumbsup
",POSITIVE,0.9957951307296753
"thank redheart
",POSITIVE,0.999832034111023
"boat boult
",POSITIVE,0.9969455599784851
"please sound
",POSITIVE,0.9997836947441101
"sound please
",POSITIVE,0.9998027682304382
"wires wireless
",POSITIVE,0.9901963472366333
"hey thanks anc wearing ear heard anc ear ear people complaining
",NEGATIVE,0.5596790313720703
"anc higher ear heath
",NEGATIVE,0.9895580410957336
"please
",POSITIVE,0.9995015859603882
"boat active shorts boat
",NEGATIVE,0.9734497666358948
"boat anc anc
",NEGATIVE,0.9516227841377258
"chale jaofacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
",NEGATIVE,0.9948927164077759
"four right
",POSITIVE,0.9998493194580078
"ears
",POSITIVE,0.9940654039382935
"sound
",POSITIVE,0.9995505213737488
"boat anything copying interchanging
",NEGATIVE,0.9889208078384399
"boat anc boat anc
",NEGATIVE,0.917540431022644
"follow know actually bluetooth disconnected reconnecting
",NEGATIVE,0.9836918115615845
"easy fir warranty
",NEGATIVE,0.8929167985916138
"boat really properly charge backwards please rahasmilingfacewithtearsmilingfacewithtearsmilingfacewithtear
",NEGATIVE,0.8846344351768494
"top wireless
",POSITIVE,0.9969711303710938
"thanks information
",POSITIVE,0.999834418296814
boat boat wearhousehushedface boat shorts,NEGATIVE,0.9937183856964111
