Sentence,Sentiment,Score
"functioning
",POSITIVE,0.9995923638343811
"backwards
",NEGATIVE,0.9904462099075317
"thank
",POSITIVE,0.9998283386230469
"option
",POSITIVE,0.9911637306213379
"backwards
",NEGATIVE,0.9904462099075317
"reason
",POSITIVE,0.9926543235778809
"reception
",POSITIVE,0.9991957545280457
"thanks tmp
",POSITIVE,0.999561607837677
"phone theek phone
",NEGATIVE,0.9867798089981079
"phone 7hour tha fir fir tha
",NEGATIVE,0.9819474220275879
"please
",POSITIVE,0.9995015859603882
"iphone four mount option option iphone iphone
",POSITIVE,0.7049097418785095
"thanks thinking
",POSITIVE,0.9998067021369934
"facewithtearsofjoy tha facewithtearsofjoy
",NEGATIVE,0.9628666639328003
"backhandindexpointingdownbackhandindexpointingdown
",NEGATIVE,0.9958125948905945
"invest thinkingface
",POSITIVE,0.9911115765571594
"know whats phone
",NEGATIVE,0.9303615689277649
"зарядкуenragedfaceenragedfaceenragedfacefacewithsymbolsonmouth
",NEGATIVE,0.9927785992622375
