Sentence,Sentiment,Score
"heavily please
",POSITIVE,0.9985741376876831
"something fact
",POSITIVE,0.9990960359573364
"title
",POSITIVE,0.9987114667892456
"text allowed
",POSITIVE,0.9964145421981812
"allowed another count reporting
",POSITIVE,0.6148009896278381
"bot action please
",POSITIVE,0.9904478788375854
"played people
",POSITIVE,0.9900074005126953
"first
",POSITIVE,0.9977535605430603
"people hilarious though tough
",POSITIVE,0.9998414516448975
"grinningfacewithsweat
",POSITIVE,0.9940981864929199
"showed
",POSITIVE,0.9976149797439575
"found nothing
",NEGATIVE,0.9988000392913818
"found
",POSITIVE,0.9958689212799072
"nearly daylight nothing
",NEGATIVE,0.9897615313529968
"recording
",POSITIVE,0.9962937235832214
"please thanks
",POSITIVE,0.9998188614845276
"every
",POSITIVE,0.9956293106079102
"finally back
",POSITIVE,0.996119499206543
"played people
",POSITIVE,0.9900074005126953
"back clear every every item enough players
",POSITIVE,0.9630917310714722
"four really
",POSITIVE,0.998102605342865
"perfection gameloudlycryingfaceloudlycryingface
",POSITIVE,0.9986116886138916
"please watched years facewithtearsofjoy
",POSITIVE,0.9899202585220337
"sound something thinkingfacefacewithpeekingeye
",POSITIVE,0.9768617749214172
"fact
",POSITIVE,0.9983716607093811
"screaming
",NEGATIVE,0.9994392991065979
"thought would things fear
",NEGATIVE,0.9743567109107971
"chaotic
",NEGATIVE,0.999562680721283
"everyone players
",POSITIVE,0.9994022846221924
"players
",POSITIVE,0.997399091720581
"sounds
",POSITIVE,0.9985325336456299
"finally horror actually enough
",NEGATIVE,0.9780864119529724
"heart
",POSITIVE,0.9998140931129456
"everything
",POSITIVE,0.998927891254425
"screams facewithtearsofjoy
",NEGATIVE,0.9949902892112732
"knew
",POSITIVE,0.9959576725959778
"please thing swear
",NEGATIVE,0.9349885582923889
"honestly
",POSITIVE,0.9990652203559875
"fear
",NEGATIVE,0.9980984330177307
"please
",POSITIVE,0.9995015859603882
"hey platform every
",POSITIVE,0.992764413356781
"screaming think team think
",NEGATIVE,0.9940423369407654
"torrents cloaked fear unrealfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
",NEGATIVE,0.985506534576416
"eating
",POSITIVE,0.9973015785217285
"everyones laughter
",POSITIVE,0.9998041987419128
"actually
",POSITIVE,0.9980202913284302
"neighbors think hes facewithtearsofjoy
",NEGATIVE,0.9647552967071533
"least trying handcuffs
",NEGATIVE,0.9935107827186584
"sounds screaming conker
",NEGATIVE,0.9982129335403442
"approaches thing
",POSITIVE,0.9967101812362671
"please
",POSITIVE,0.9995015859603882
"every heard
",POSITIVE,0.9963769316673279
"played
",POSITIVE,0.9974415302276611
"know
",POSITIVE,0.9947928786277771
"hilarious
",POSITIVE,0.9998794794082642
"would hear hear without unpunished death rightly death would graciously offers third corinthians heart mouth free think based ephesians whosoever
",NEGATIVE,0.9282516241073608
"headphones screams child
",NEGATIVE,0.9915103912353516
"played
",POSITIVE,0.9974415302276611
"sounds
",POSITIVE,0.9985325336456299
"played
",POSITIVE,0.9974415302276611
"watched whole thought
",POSITIVE,0.9972434043884277
"thing found beater
",POSITIVE,0.9757589101791382
"completely
",POSITIVE,0.999228835105896
"please people
",POSITIVE,0.9995831847190857
"please
",POSITIVE,0.9995015859603882
"every
",POSITIVE,0.9956293106079102
"played people loudlycryingface
",NEGATIVE,0.9264178276062012
"year right
",POSITIVE,0.9997789263725281
"would horror
",NEGATIVE,0.9947013854980469
"actually
",POSITIVE,0.9980202913284302
"played ground deathmatch think
",NEGATIVE,0.9522015452384949
"heard
",POSITIVE,0.9983171224594116
"played
",POSITIVE,0.9974415302276611
"count
",POSITIVE,0.999081015586853
"horror hes horror
",NEGATIVE,0.997305154800415
"please
",POSITIVE,0.9995015859603882
"please
",POSITIVE,0.9995015859603882
"recording
",POSITIVE,0.9962937235832214
"thoughts
",POSITIVE,0.9943869113922119
"found
",POSITIVE,0.9958689212799072
"please please
",POSITIVE,0.9992691874504089
"knew though smilingfacewithsmilingeyesenjoy redheart
",POSITIVE,0.9926331639289856
"city
",POSITIVE,0.9972625970840454
"family sheffield
",POSITIVE,0.9934548735618591
"four
",POSITIVE,0.9953193068504333
"services freshen eat
",POSITIVE,0.9991012811660767
"smilingfacewithheartssmilingfacewithhearts
",POSITIVE,0.996796190738678
"eat action smilingfacewithsmilingeyes
",POSITIVE,0.9934868812561035
"literally
",POSITIVE,0.9956303834915161
"four please
",POSITIVE,0.9995125532150269
"first first vlogshundredpointsgrowingheart
",NEGATIVE,0.9761191606521606
"reaction first
",POSITIVE,0.9961796998977661
"though include would greatly
",POSITIVE,0.9930221438407898
"thank reacting brothers
",POSITIVE,0.9998444318771362
"xfactor performance flower chance created become please performances would
",POSITIVE,0.9994401335716248
"thank
",POSITIVE,0.9998283386230469
"hope famous please bussiness thank
",POSITIVE,0.9998005032539368
"sparklingheartsparklingheartindonesiaindonesia
",POSITIVE,0.9940371513366699
"four please chance cover factor four
",POSITIVE,0.9984533786773682
"smilingfacewithsmilingeyes thanks reaction redheart
",POSITIVE,0.9996166229248047
"finally
",POSITIVE,0.9983649849891663
"sparklingheartpartypopperpartypopperpartypopper
",POSITIVE,0.9942166805267334
"cover heart
",POSITIVE,0.9980283379554749
"thank
",POSITIVE,0.9998283386230469
"moneymouthfacemoneymouthface
",NEGATIVE,0.9916287660598755
"firefirefire
",POSITIVE,0.9964128136634827
"nothing releasing
",NEGATIVE,0.9991158843040466
"back hip
",POSITIVE,0.9977601766586304
"theme
",POSITIVE,0.9967566132545471
"callbacks
",NEGATIVE,0.9971321821212769
"backfireyour hits fresh
",POSITIVE,0.9994966983795166
"comeback
",POSITIVE,0.9994515776634216
"whoa fire heard
",POSITIVE,0.9835761189460754
"every showed
",POSITIVE,0.9953527450561523
"heard
",POSITIVE,0.9983171224594116
"feat
",POSITIVE,0.999366819858551
"every brother
",POSITIVE,0.9977570176124573
"back high
",POSITIVE,0.9952371120452881
"tribute
",POSITIVE,0.9995148181915283
"whole together sounds authentic catch fire
",POSITIVE,0.9998249411582947
"literally heard creativity
",POSITIVE,0.999091625213623
"hundredpoints
",POSITIVE,0.9927347898483276
"hear
",POSITIVE,0.9987009763717651
"really back facewithtearsofjoy
",POSITIVE,0.9151025414466858
"uptowns
",POSITIVE,0.994925856590271
"hes everyone head release
",NEGATIVE,0.6544480919837952
"free free free
",POSITIVE,0.9933443069458008
"thisk hear thats bout thank
",POSITIVE,0.9996230602264404
"everything
",POSITIVE,0.998927891254425
"hiphop absolutely right
",POSITIVE,0.9998738765716553
"hiphop back demandindexpointingupmediumdarkskintone
",NEGATIVE,0.9886716604232788
"fresh
",POSITIVE,0.9998635053634644
"congratulations clappinghandspartypopperclappinghands brothers background
",POSITIVE,0.9954240918159485
"accused
",NEGATIVE,0.9940434098243713
"sounds
",POSITIVE,0.9985325336456299
"thats thats whathappenedtohim
",NEGATIVE,0.986735463142395
"honestly
",POSITIVE,0.9990652203559875
"artist another hits anthem high years
",POSITIVE,0.9992475509643555
"really
",POSITIVE,0.9980352520942688
"bomb though
",NEGATIVE,0.9995793700218201
"know thomasville
",POSITIVE,0.9901314973831177
"reading shocked herman
",NEGATIVE,0.991898775100708
"featured signtheartist
",POSITIVE,0.9972015619277954
"thrive hes fire fire authentic fire fire
",POSITIVE,0.9998021721839905
"really
",POSITIVE,0.9980352520942688
"smilingfacewithsmilingeyes
",POSITIVE,0.9970294237136841
"herman shout outfirefirefirefirefire
",POSITIVE,0.9964518547058105
"sound horrible
",NEGATIVE,0.9997261166572571
"bullshittfacewithtearsofjoyfacewithtearsofjoy
",NEGATIVE,0.9976677298545837
"artist againfirefirefirefire flow top
",POSITIVE,0.999448835849762
"head first another eased something follow
",NEGATIVE,0.5655784606933594
"fire firefire
",POSITIVE,0.9969504475593567
"thrilled heard title something hes hes screwed basically think would hilarious would hope thats tough
",POSITIVE,0.9045616388320923
"forthwith thumbs already know
",NEGATIVE,0.7266879081726074
"people really credit
",POSITIVE,0.9997463822364807
"thats right hundredpoints
",POSITIVE,0.9972992539405823
"reference tribute
",POSITIVE,0.9938219785690308
"nothing
",NEGATIVE,0.9992395639419556
"herman smilingfacewithhearts thats
",POSITIVE,0.9593569040298462
"please
",POSITIVE,0.9995015859603882
"straight fire firefirefire
",POSITIVE,0.9990760087966919
"food facescreaminginfear hour
",NEGATIVE,0.9795446991920471
"please redheart
",POSITIVE,0.9983672499656677
"food
",POSITIVE,0.9996973276138306
"smilingfacewithsmilingeyesthe food specialy smilingfacewithsmilingeyes
",POSITIVE,0.9934333562850952
"please please please please please please please please please please please please please pradeshcryingface
",POSITIVE,0.5903412699699402
"tha curry kiyafacewithtearsofjoy
",NEGATIVE,0.9599112868309021
"food food
",POSITIVE,0.9997127652168274
"please
",POSITIVE,0.9995015859603882
"please
",POSITIVE,0.9995015859603882
"please
",POSITIVE,0.9995015859603882
"hey please
",POSITIVE,0.9990525841712952
"first authentic food
",POSITIVE,0.9997106194496155
"please
",POSITIVE,0.9995015859603882
"food please
",POSITIVE,0.999786913394928
"please
",POSITIVE,0.9995015859603882
"please
",POSITIVE,0.9995015859603882
"please
",POSITIVE,0.9995015859603882
"pleaseredheart
",POSITIVE,0.9982479810714722
"food
",POSITIVE,0.9996973276138306
"please
",POSITIVE,0.9995015859603882
"gurugramsmilingfacewithsmilingeyessmilingfacewithsmilingeyesgo onion
",NEGATIVE,0.9920660853385925
"please
",POSITIVE,0.9995015859603882
"items
",POSITIVE,0.9926740527153015
"hoshiarpur please
",POSITIVE,0.9994797110557556
"backwards
",NEGATIVE,0.9904462099075317
"south please thank latersmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes
",POSITIVE,0.9991846680641174
"bathinda food smilingfacewithhearts
",POSITIVE,0.9972456693649292
"food
",POSITIVE,0.9996973276138306
"food try
",POSITIVE,0.9917892217636108
"correcting completely
",POSITIVE,0.9991428852081299
"please please
",POSITIVE,0.9992691874504089
"please
",POSITIVE,0.9995015859603882
"city food freshway famous food south healthy food city city famous food famous redheart family redheartsmilingfacewithsmilingeyes
",POSITIVE,0.9923019409179688
"please food cityfacesavoringfood
",POSITIVE,0.9933202266693115
"specifically
",POSITIVE,0.9946874380111694
"please
",POSITIVE,0.9995015859603882
"food
",POSITIVE,0.9996973276138306
"try food bathinda
",NEGATIVE,0.9509504437446594
"thank
",POSITIVE,0.9998283386230469
"food
",POSITIVE,0.9996973276138306
"city
",POSITIVE,0.9972625970840454
"please please please
",POSITIVE,0.9988790154457092
"please
",POSITIVE,0.9995015859603882
"wealth chose
",POSITIVE,0.9989653825759888
"please beast
",POSITIVE,0.9978867173194885
"country city people dreamloudlycryingfaceredheart
",POSITIVE,0.9506851434707642
"others smilingfacewithsmilingeyes
",POSITIVE,0.9946178793907166
"hundredpoints
",POSITIVE,0.9927347898483276
"really tears redheart
",POSITIVE,0.9613029360771179
"beast please beast pleasecryingfacecryingface
",POSITIVE,0.9837191700935364
"heartdecoration
",POSITIVE,0.9926522970199585
"light
",POSITIVE,0.9996830224990845
"beast philanthropy actively contributing positively impacting community
",POSITIVE,0.9995317459106445
"faceholdingbacktearsfaceholdingbacktears
",NEGATIVE,0.9919379353523254
"people earth brothers
",POSITIVE,0.998976469039917
"beast things hatecryingface reason hated people
",NEGATIVE,0.981702983379364
"cryingface cryingfacecryingfacecryingface
",NEGATIVE,0.9905492663383484
"teacher
",POSITIVE,0.9946861267089844
"argentina
",POSITIVE,0.9923646450042725
"seas beast redheart
",POSITIVE,0.9621437191963196
"please forced theyre exploited please
",NEGATIVE,0.9898588061332703
